Symbol,Date,Open,Close,Volume
XPH,2018-08-14,6.9,6.9,0
XPH,2018-08-15,6.9,6.9,0
XPH,2018-08-16,6.9,6.9,0
XPH,2018-08-17,6.9,6.9,0
XPH,2018-08-20,6.9,6.9,0
XPH,2018-08-21,6.9,6.9,0
XPH,2018-08-22,6.9,6.9,0
XPH,2018-08-23,5.9,5.9,7300
XPH,2018-08-24,6.2,6.2,500
XPH,2018-08-27,6.2,6.2,0
XPH,2018-08-28,5.4,6.0,3100
XPH,2018-08-29,5.9,5.9,200
XPH,2018-08-30,6.2,5.3,3300
XPH,2018-08-31,5.9,5.9,1500
XPH,2018-09-04,5.9,5.9,0
XPH,2018-09-05,6.2,6.2,200
XPH,2018-09-06,6.2,6.2,0
XPH,2018-09-07,6.2,6.2,0
XPH,2018-09-10,6.2,6.2,0
XPH,2018-09-11,6.2,6.2,0
XPH,2018-09-12,6.2,6.2,0
XPH,2018-09-13,5.9,5.9,2000
XPH,2018-09-14,6.1,6.6,6000
XPH,2018-09-17,5.8,5.8,15500
XPH,2018-09-18,6.6,6.6,100
XPH,2018-09-19,5.7,5.7,100
XPH,2018-09-20,5.9,5.2,400
XPH,2018-09-21,4.9,4.9,100
XPH,2018-09-24,4.9,4.9,0
XPH,2018-09-25,4.9,4.9,0
XPH,2018-09-26,4.4,4.4,200
XPH,2018-09-27,5.0,5.0,100
XPH,2018-09-28,4.4,5.3,11400
XPH,2018-10-01,5.8,5.9,200
XPH,2018-10-02,6.6,6.0,1100
XPH,2018-10-03,6.7,6.0,400
XPH,2018-10-04,6.3,6.1,500
XPH,2018-10-05,6.8,6.0,300
XPH,2018-10-08,7.2,7.2,200
XPH,2018-10-09,6.2,6.2,200
XPH,2018-10-10,5.7,5.7,300
XPH,2018-10-11,5.8,5.8,100
XPH,2018-10-12,6.5,6.5,100
XPH,2018-10-15,5.8,5.8,1000
XPH,2018-10-16,6.5,5.7,4200
XPH,2018-10-17,5.6,5.5,17400
XPH,2018-10-18,5.6,5.6,0
XPH,2018-10-19,5.3,5.4,3000
XPH,2018-10-22,5.1,5.1,100
XPH,2018-10-23,5.7,5.7,100
XPH,2018-10-24,5.6,5.6,300
XPH,2018-10-25,5.7,5.2,200
XPH,2018-10-26,6.2,6.2,100
XPH,2018-10-29,5.5,5.5,2000
XPH,2018-10-30,5.5,5.5,0
XPH,2018-10-31,5.5,5.5,100
XPH,2018-11-01,5.0,5.0,100
XPH,2018-11-02,5.0,5.0,0
XPH,2018-11-05,4.4,4.4,100
XPH,2018-11-06,4.6,4.7,5300
XPH,2018-11-07,5.5,5.5,4200
XPH,2018-11-08,6.2,6.2,100
XPH,2018-11-09,6.9,6.9,100
XPH,2018-11-12,5.9,5.9,100
XPH,2018-11-13,6.6,5.7,2500
XPH,2018-11-14,5.7,5.7,0
XPH,2018-11-15,4.9,5.4,1900
XPH,2018-11-16,5.0,5.0,1100
XPH,2018-11-19,5.0,5.0,2500
XPH,2018-11-20,5.0,5.0,0
XPH,2018-11-21,5.3,5.3,400
XPH,2018-11-22,5.3,5.9,200
XPH,2018-11-23,6.2,6.2,100
XPH,2018-11-26,6.1,5.4,4200
XPH,2018-11-27,5.5,5.5,1000
XPH,2018-11-28,5.5,5.4,1500
XPH,2018-11-29,5.4,4.6,4600
XPH,2018-11-30,5.2,4.6,0
XPH,2018-12-03,5.2,4.6,0
XPH,2018-12-04,5.2,4.6,0
XPH,2018-12-05,5.3,5.2,2100
XPH,2018-12-06,5.5,5.5,1000
XPH,2018-12-07,5.5,5.5,0
XPH,2018-12-10,5.1,4.9,47700
XPH,2018-12-11,4.5,5.0,6100
XPH,2018-12-12,4.5,4.5,100
XPH,2018-12-13,4.5,4.5,0
XPH,2018-12-14,5.1,5.1,1000
XPH,2018-12-17,4.8,5.1,2100
XPH,2018-12-18,5.1,5.1,2700
XPH,2018-12-19,5.0,4.9,6700
XPH,2018-12-20,5.4,5.4,100
XPH,2018-12-21,5.6,5.6,200
XPH,2018-12-24,5.2,4.8,4300
XPH,2018-12-25,5.3,5.4,4500
XPH,2018-12-26,5.3,5.0,9700
