symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17,Report_Type,Symbol,id,officer_name,officer_position,position_short_name,officer_own_percent,quantity,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,share_holder,share_own_percent,date,description,link,name,sub_organ_code,ownership_percent,organ_name,type
,,,2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,11,Nguyễn Đặng Quỳnh Anh,Phó Tổng Giám đốc,Phó TGĐ,0.0,0.0,,,,,,,,,,,,,,,,
,,,2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,12,Nguyễn Văn Cang,Phó Tổng Giám đốc Tài chính,Phó TGĐ - Tài chính,0.0,0.0,,,,,,,,,,,,,,,,
,,,2022-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,13,Nguyễn Quang Vinh,Thành viên Hội đồng Quản trị độc lập/Phó Giám đốc Điều hành/Phó Tổng Giám đốc Tài chính,Thành viên HĐQT độc lập/Phó GĐ điều hành/Phó TGĐ - Tài chính,0.0,0.0,,,,,,,,,,,,,,,,
,,,2024-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,14,Punnya Niraan De Silva,Thành viên Hội đồng Quản trị,TV HĐQT,0.0,0.0,,,,,,,,,,,,,,,,
,,,2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,10,Nguyễn Thị Ngọc Nữ,Kế toán trưởng,Kế toán trưởng,0.0,3.0,,,,,,,,,,,,,,,,
,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,2,Hoàng Đức Trung,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,0.0,0.0,,,,,,,,,,,,,,,,
,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,3,Don Di Lam,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,0.0,0.0,,,,,,,,,,,,,,,,
,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,4,Nguyễn Ngọc Dũng,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,0.0,0.0,,,,,,,,,,,,,,,,
,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,5,Lý Trường Chiến,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,0.0,0.0,,,,,,,,,,,,,,,,
,,,2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YEG,6,Trần Quốc Bảo,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,0.0,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376726,,,,,,,,,,,,,,,,,,0314526114,0.99887,Công ty TNHH Yeah1 Network Việt Nam,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376727,,,,,,,,,,,,,,,,,,0317420589,0.92,Công ty TNHH Yeah1 Up,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376728,,,,,,,,,,,,,,,,,,0317690271,1.0,Công ty TNHH 1production,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376729,,,,,,,,,,,,,,,,,,0318105371,1.0,Công ty TNHH 1talents,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376730,,,,,,,,,,,,,,,,,,0318106103,1.0,Công ty TNHH 1brandlink,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376731,,,,,,,,,,,,,,,,,,0318347998,0.51,Công ty Cổ Phần 1label,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376732,,,,,,,,,,,,,,,,,,0601201906,,Công ty Cổ Phần Phát Triển Huy Ngân,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376733,,,,,,,,,,,,,,,,,,1301092937,0.51,Công Ty Trách Nhiệm Hữu Hạn Trung Tâm Công Nghệ Và Chuyển Đổi Số,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376734,,,,,,,,,,,,,,,,,,ONCOMM,0.0,Công ty Cổ Phần Truyền Thông On+,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376735,,,,,,,,,,,,,,,,,,YEEDIGITAL,0.35,Công ty Cổ Phần Yeah1 Edigital,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376736,,,,,,,,,,,,,,,,,,YSSCO,0.5098,Công Ty CP Siêu Sao Yeah1,công ty con
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376737,,,,,,,,,,,,,,,,,,0318547718,0.4,Công ty TNHH Meta Blossom Việt Nam,công ty liên kết
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsidiaries,YEG,26376738,,,,,,,,,,,,,,,,,,YEEDIGITAL,0.35,Công ty Cổ Phần Yeah1 Edigital,công ty liên kết
